Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
UTG - Buyers Flow:-4,435,765,716,773,785,817,607,21049,0.230%,2.97011,4.22,2.43
UTG - Buyers Flow:00_Home,435,765,716,773,785,817,607,21050,0.230%,2.97009,4.22,2.43
UTG - Buyers Flow:-8,432,180,180,194,198,204,152,247,0.000%,2.96298,13.47,2.74
UTG - Buyers Flow:01_Sign_Page,432,180,180,194,198,204,152,247,0.000%,2.96298,13.47,2.74
UTG - Buyers Flow:-12,432,358,357,385,390,399,302,408,0.000%,2.95951,15.53,7.04
UTG - Buyers Flow:-13,431,177,177,192,194,199,150,202,0.000%,2.95625,4.19,2.82
UTG - Buyers Flow:02_Submit_Login,431,536,535,576,584,596,452,610,0.000%,2.94921,19.65,9.83
UTG - Buyers Flow:-17,430,178,177,191,194,200,150,480,0.000%,2.95269,4.19,2.87
UTG - Buyers Flow:03_Click_On_Category,430,178,177,191,194,200,150,480,0.000%,2.95269,4.19,2.87
UTG - Buyers Flow:-21,430,177,177,191,195,199,151,203,0.000%,2.95259,4.19,2.96
UTG - Buyers Flow:04_Click_On_Product,430,177,177,191,195,199,151,203,0.000%,2.95257,4.19,2.96
UTG - Browsing Flow:MOCK_OAUTH_LOGIN,10,4,1,1,1,42,0,42,0.000%,.55556,0.08,0.00
UTG - Buyers Flow:-25,428,182,182,196,198,203,156,207,0.000%,2.93859,13.81,3.02
UTG - Buyers Flow:05_Clcik_On_AddToCart,428,182,182,196,198,203,156,207,0.000%,2.93847,13.81,3.02
UTG - Buyers Flow:-29,428,180,180,195,197,201,154,204,0.000%,2.93837,15.90,2.96
UTG - Buyers Flow:06_Click_On_CheckOut,428,180,180,195,197,201,154,204,0.000%,2.93837,15.90,2.96
UTG - Buyers Flow:-33,428,180,180,195,198,203,154,209,0.000%,2.93819,13.35,4.51
UTG - Buyers Flow:07_Click_On_Continue,428,180,180,195,198,203,154,209,0.000%,2.93819,13.35,4.51
UTG - Buyers Flow:-37,426,184,183,197,200,208,157,387,0.469%,2.92420,15.40,3.67
UTG - Buyers Flow:08_Click_On_Confirm,426,184,183,197,200,208,157,400,0.469%,2.92420,15.40,3.67
UTG - Buyers Flow:-44,422,357,356,384,390,401,304,410,0.000%,2.95035,15.21,5.84
UTG - Buyers Flow:-46,422,177,177,191,194,199,152,203,0.000%,2.95427,4.19,2.85
UTG - Buyers Flow:09_Click_SignOut,422,535,534,575,584,597,456,613,0.000%,2.94711,19.37,8.68
UTG - Browsing Flow:01_HOME,146,746,726,771,795,845,621,3762,0.000%,1.03871,1.47,0.95
UTG - Browsing Flow:TS01_HOME,146,746,726,771,795,845,621,3762,0.000%,1.02389,1.45,0.94
UTG - Browsing Flow:02_VIEW_CATEGORY,141,183,184,195,200,210,156,249,0.000%,1.01228,4.49,1.05
UTG - Browsing Flow:TS02_VIEW_CATEGORY,141,183,184,195,200,210,156,249,0.000%,.99787,4.42,1.03
UTG - Browsing Flow:03_VIEW_PRODUCT,139,184,185,196,201,209,156,212,0.000%,1.00766,4.05,1.13
UTG - Browsing Flow:TS03_VIEW_PRODUCT,139,184,185,196,201,209,156,212,0.000%,.99325,3.99,1.11
UTG - Browsing Flow:04_VIEW_ITEM,138,183,183,195,200,211,157,275,0.000%,1.02300,3.81,1.14
UTG - Browsing Flow:TS04_VIEW_ITEM,138,183,183,195,200,211,157,275,0.000%,1.00804,3.75,1.12
:TS03_VIEW_PRODUCT,2,0,0,0,0,0,0,0,0.000%,.23683,0.00,0.00
:TS02_VIEW_CATEGORY,4,0,0,0,0,0,0,0,0.000%,1.07933,0.00,0.00
:TS01_HOME,1,0,0,0,0,0,0,0,0.000%,1000.00000,0.00,0.00
TOTAL,10579,287,185,677,724,775,0,21050,0.057%,71.43774,268.35,93.65
